Hours_Studied,Attendance,Sleep_Hours,Previous_Scores,Tutoring_Sessions,Physical_Activity,Exam_Score
18.0,90.0,8,71.0,0,3,68
13.0,84.0,9,94.0,3,2,66
18.0,64.0,9,97.0,2,3,64
20.0,97.0,7,94.0,1,1,72
17.0,76.0,8,95.0,1,4,67
24.0,84.0,7,65.0,3,3,69
22.0,97.0,7,79.0,2,0,71
,77.0,8,85.0,1,2,66
19.0,63.0,6,98.0,4,2,69
12.0,85.0,7,54.0,4,3,66
21.0,,9,65.0,5,3,71
19.0,61.0,8,84.0,2,4,66
27.0,95.0,7,52.0,3,3,73
22.0,81.0,5,90.0,0,2,66
22.0,,7,77.0,2,3,68
21.0,99.0,7,57.0,2,2,71
12.0,83.0,6,79.0,1,4,65
27.0,67.0,6,54.0,0,2,61
9.0,98.0,7,58.0,2,4,69
25.0,69.0,5,68.0,2,4,68
11.0,80.0,6,96.0,1,3,65
23.0,92.0,9,58.0,2,1,71
27.0,94.0,7,89.0,3,2,73
23.0,75.0,7,68.0,1,4,64
13.0,71.0,9,73.0,1,3,61
16.0,83.0,9,95.0,2,2,69
21.0,81.0,7,94.0,3,1,70
26.0,71.0,5,77.0,0,5,66
16.0,82.0,6,91.0,0,3,66
22.0,63.0,4,86.0,0,4,64
29.0,63.0,9,97.0,3,3,66
12.0,72.0,8,67.0,4,4,63
10.0,98.0,6,65.0,1,2,66
29.0,98.0,5,88.0,3,2,75
19.0,65.0,10,58.0,2,3,64
15.0,96.0,8,73.0,3,3,71
32.0,61.0,7,80.0,0,4,68
31.0,70.0,7,66.0,1,3,69
18.0,66.0,6,86.0,0,2,63
,61.0,9,58.0,4,2,63
13.0,61.0,7,68.0,1,2,58
22.0,97.0,6,54.0,2,2,70
14.0,90.0,7,60.0,2,4,69
21.0,63.0,9,60.0,2,2,64
25.0,75.0,7,57.0,4,5,70
20.0,,5,94.0,0,4,67
17.0,,8,59.0,0,4,66
14.0,76.0,7,64.0,3,3,64
19.0,60.0,6,60.0,1,2,65
26.0,78.0,7,78.0,4,4,69
14.0,92.0,9,58.0,1,2,69
18.0,91.0,6,96.0,2,3,71
24.0,69.0,6,69.0,0,4,65
18.0,67.0,5,52.0,0,4,64
23.0,76.0,6,98.0,1,3,67
14.0,81.0,9,81.0,1,3,66
15.0,76.0,6,82.0,4,4,69
17.0,67.0,10,71.0,1,3,63
10.0,87.0,6,83.0,0,4,63
13.0,92.0,7,70.0,4,3,68
22.0,70.0,7,81.0,3,2,68
23.0,81.0,5,91.0,0,3,70
11.0,78.0,8,100.0,1,3,66
19.0,,8,98.0,1,3,67
25.0,84.0,7,83.0,1,3,70
25.0,95.0,8,96.0,1,4,74
