y,x
30.436,1.168
30.228,1.25
23.311,1.351
28.274,1.501
27.82,1.525
30.399,1.673
27.208,1.7
32.127,1.812
25.348,1.931
22.99,2.729
26.792,2.825
22.393,2.845
22.53,3.425
27.957,3.456
24.88,3.664
32.886,3.708
23.815,3.743
19.175,3.981
22.395,3.997
24.888,4.079
24.33,4.107
23.002,4.144
25.498,4.932
17.508,5.178
18.004,5.264
22.666,5.343
16.402,5.456
15.221,5.488
15.086,5.797
22.249,5.843
18.627,6.176
13.189,6.319
22.872,6.349
11.742,6.423
17.113,6.488
14.744,6.621
17.391,6.678
17.474,6.678
18.346,6.787
16.052,6.998
18.595,7.198
9.535,7.214
19.976,7.274
11.513,7.604
10.967,7.66
10.965,7.848
11.718,7.939
16.494,8.113
13.83,8.16
14.422,8.207
14.214,8.261
16.493,8.302
12.6,8.42
15.389,8.634
14.24,8.872
9.46,8.907
10.043,8.935
17.017,8.951
10.321,9.041
10.403,9.121
11.126,9.145
13.102,9.246
16.648,9.362
10.325,9.381
10.712,9.458
15.297,9.521
5.073,9.641
14.481,9.938
6.836,9.941
-95.643,10.082
-87.152,10.125
-86.502,10.129
-73.042,10.465
-75.927,10.579
-83.86,10.711
-73.649,10.786
-73.817,11.026
-71.606,11.139
-73.809,11.158
-63.356,11.195
-64.276,11.29
-56.969,11.904
-48.715,11.936
-57.113,12.033
-49.107,12.034
-52.511,12.327
-44.241,12.509
-41.244,12.73
-48.459,12.758
-37.324,12.847
-38.019,13.106
-39.745,13.317
-29.327,13.707
-27.504,13.899
-28.314,13.971
-31.364,14.012
-28.604,14.141
-14.652,14.375
-24.264,14.603
-27.492,14.726
-24.441,14.851
-22.649,14.887
-16.44,14.956
-21.066,15.224
-23.708,15.393
-27.159,15.494
-21.463,15.59
-22.145,15.641
-18.086,15.888
-13.956,16.025
-21.965,16.258
-18.856,16.3
-19.666,16.438
-19.343,16.688
-20.227,16.791
-22.366,16.82
-15.483,17.216
-15.292,17.239
-28.529,17.275
-21.796,17.538
-21.964,17.581
-16.402,17.645
-32.487,17.825
-24.398,17.837
-31.175,18.158
-35.536,18.412
-28.938,18.437
-40.952,18.81
-40.541,19.023
-48.494,19.039
-33.536,19.067
-36.194,19.071
-41.938,19.089
-45.649,19.258
-48.463,19.411
-38.961,19.458
-51.668,19.507
-50.411,19.726
-61.497,19.747
-60.833,19.862
-45.899,19.879
-53.164,19.927
-53.821,19.982
-49.27,20.034
-53.974,20.061
-51.942,20.088
-54.473,20.165
-60.756,20.553
-61.596,20.591
-63.859,20.591
-60.866,20.665
-67.799,20.747
-64.886,20.927
-79.128,21.282
-78.584,21.339
-79.764,21.395
-81.029,21.574
-87.917,22.107
-90.774,22.259
-89.771,22.28
-75.251,22.619
-93.535,22.652
-79.832,22.827
-86.224,22.985
-86.235,23.3
-80.619,23.435
-73.494,23.467
-72.849,23.559
-74.917,23.592
-71.591,23.605
-77.445,23.674
-63.898,23.952
-68.755,24.09
-58.519,24.173
-69.246,24.262
-62.742,24.296
-72.901,24.332
-62.605,24.347
-54.688,24.408
-69.418,24.491
-70.561,24.691
-71.088,24.754
-54.218,24.768
-48.322,24.957
-56.29,24.988
-48.108,25.015
-53.955,25.31
-51.178,25.43
-60.206,25.581
-59.554,25.631
-59.636,25.695
-51.976,25.92
-50.583,25.997
-48.003,26.08
-45.838,26.116
-44.129,26.252
-48.052,26.344
-46.158,26.378
-51.716,26.76
-48.172,27.141
-40.213,27.283
-40.138,27.353
-31.357,27.594
-41.413,27.612
-44.936,27.758
-35.464,27.771
-43.788,27.794
-41.961,27.856
-41.616,28.012
-45.928,28.07
-33.021,28.071
-27.669,28.274
-35.357,28.418
-30.596,28.939
-38.87,29.049
-31.412,29.049
-38.73,29.423
-23.869,29.501
-26.212,29.518
-24.059,29.58
-30.547,29.596
-30.719,29.65
-27.953,29.838
-36.081,29.991
-18.954,30.04
-18.058,30.051
-35.108,30.064
-18.85,30.215
-32.376,30.522
-21.716,30.802
-17.17,30.866
-17.247,30.87
-19.848,31.066
-28.282,31.627
-13.34,31.744
-16.47,31.803
-15.226,31.835
-13.654,31.969
-16.576,31.973
-22.531,32.022
-14.779,32.172
-16.284,32.214
-9.896,32.257
-7.713,32.282
-14.331,32.352
-8.754,32.641
-4.715,32.672
-6.863,32.725
-8.408,32.783
-17.815,33.026
-18.717,33.064
-10.476,33.435
-8.034,33.612
-5.467,33.681
-10.747,33.952
-15.6,34.138
-3.436,34.264
-8.388,34.332
6.778,34.432
-9.795,34.465
-7.457,34.494
-11.31,35.096
-6.294,35.29
-2.577,35.299
-1.03,35.316
0.65,35.467
-10.081,36.363
-7.81,36.378
-14.273,36.387
-6.412,36.555
5.47,36.999
-5.542,37.199
0.179,37.326
-0.258,37.412
-9.742,37.466
-7.279,37.512
3.826,37.57
-0.132,37.634
-2.374,37.664
3.85,37.699
-1.285,37.931
-3.245,37.935
-7.235,37.955
26.194,38.146
25.249,38.184
22.683,38.661
23.803,38.833
20.859,38.922
29.58,39.131
21.975,39.23
20.106,39.247
28.348,39.294
26.377,39.572
28.325,39.667
17.036,39.726
31.02,39.772
27.956,39.944
19.616,40.168
29.047,40.235
21.609,40.335
28.166,40.399
27.054,40.622
29.474,40.898
14.836,40.923
29.614,40.97
19.505,41.071
18.085,41.164
18.335,41.286
21.192,41.359
24.253,41.361
30.294,41.536
18.413,41.544
22.667,41.785
27.6,41.869
24.672,41.9
24.359,41.982
17.6,42.134
26.463,42.281
22.7,42.306
25.715,42.38
28.228,42.928
32.333,43.054
29.603,43.715
24.535,44.054
38.013,44.229
34.527,44.275
30.388,44.408
30.172,44.416
44.301,44.571
31.793,44.963
30.353,45.182
31.109,45.27
32.848,45.374
30.455,45.433
27.006,45.661
29.376,45.809
33.829,45.941
26.996,46.01
37.37,46.167
28.695,46.172
36.62,46.272
30.692,46.376
36.001,46.436
27.229,46.695
31.242,46.776
26.717,46.878
32.382,46.884
28.961,46.893
32.681,47.09
34.101,47.114
35.314,47.226
33.219,47.277
31.23,47.31
30.011,47.401
33.154,47.435
25.313,47.588
31.172,47.627
34.555,47.653
25.888,47.869
31.783,48.063
34.135,48.073
29.336,48.141
35.054,48.581
31.86,48.876
32.159,49.242
33.72,49.337
37.276,49.34
31.224,49.356
32.788,49.433
33.623,49.535
34.775,49.695
38.152,49.728
29.645,49.919
32.863,50.044
38.314,50.056
31.227,50.092
33.47,50.142
30.7,50.234
37.404,50.365
23.465,50.518
33.413,50.616
36.648,51.027
30.043,51.048
32.19,51.064
29.584,51.1
38.77,51.121
31.202,51.264
37.653,51.304
32.228,51.353
20.489,51.479
25.858,51.746
27.576,51.94
29.705,52.058
29.073,52.149
35.718,52.23
29.207,52.322
25.655,52.409
31.382,52.416
25.283,52.583
18.181,52.652
24.837,52.675
28.869,52.793
28.878,52.959
31.744,52.992
23.408,53.096
21.786,53.257
23.015,53.293
20.2,53.593
27.793,53.721
29.726,53.732
30.245,53.83
25.729,53.857
23.266,54.185
21.214,54.392
22.736,54.494
22.477,54.506
29.071,54.568
16.317,54.62
23.993,54.722
20.011,54.752
15.343,54.756
16.849,54.805
17.036,54.82
19.201,54.895
22.521,54.911
14.232,55.082
23.358,55.284
19.956,55.309
16.452,55.757
19.357,56.439
16.19,56.44
10.583,56.609
20.099,56.638
19.61,56.716
16.73,57.038
8.649,57.091
13.997,57.136
10.692,57.861
3.456,58.353
6.327,58.462
6.634,58.507
8.732,58.584
9.526,58.755
7.124,58.839
-1.141,58.849
6.087,59.121
6.071,59.179
7.957,59.293
9.158,59.566
6.062,59.68
-1.702,59.726
9.069,59.729
2.165,59.739
10.394,59.871
-0.437,59.98
