y,x
0,2.4
-1.3,2.6
-2.7,3.2
0,3.6
-2.7,4
-2.7,6.2
-2.7,6.6
-1.3,6.8
-2.7,7.8
-2.7,8.2
-1.3,8.8
-2.7,8.8
-2.7,9.6
-2.7,10
-5.4,10.2
-2.7,10.6
-5.4,11
0,11.4
-2.7,13.2
-2.7,13.6
0,13.8
-13.3,14.6
-5.4,14.6
-5.4,14.6
-9.6,14.6
-16,14.6
-22.8,14.6
-2.7,14.8
-22.8,15.4
-32.1,15.4
-53.5,15.4
-54.9,15.4
-40.2,15.6
-21.5,15.6
-21.5,15.8
-50.8,15.8
-42.9,16
-26.8,16
-21.5,16.2
-50.8,16.2
-61.7,16.2
-5.4,16.4
-80.4,16.4
-59,16.6
-71,16.8
-91.1,16.8
-77.7,16.8
-37.5,17.6
-85.6,17.6
-123.1,17.6
-101.9,17.6
-99.1,17.8
-104.1,17.8
-112.5,18.6
-50.8,18.6
-123.1,19.2
-85.6,19.4
-72.3,19.4
-127.2,19.6
-123.1,20.2
-117.9,20.4
-134,21.2
-101.9,21.4
-108.4,21.8
-123.1,22
-123.1,23.2
-128.5,23.4
-112.5,24
-95.1,24.2
-81.8,24.2
-53.5,24.6
-64.4,25
-57.6,25
-72.3,25.4
-44.3,25.4
-26.8,25.6
-5.4,26
-107.1,26.2
-31.5,26.2
-65.6,26.4
-16,27
-45.6,27.2
-24.2,27.2
9.5,27.2
4,27.6
12,28.2
-21.5,28.4
37.5,28.4
46.9,28.6
-17.4,29.4
36.2,30.2
75,31
8.1,31.2
54.9,32
48.2,32
46.9,32.8
16,33.4
45.6,33.8
1.3,34.4
75,34.8
-16,35.2
-54.9,35.2
69.6,35.4
34.8,35.6
32.1,35.6
-37.5,36.2
22.8,36.2
46.9,38
10.7,38
5.4,39.2
-1.3,39.4
-21.5,40
-13.3,40.4
30.8,41.6
-10.7,41.6
29.4,42.4
0,42.8
-10.7,42.8
14.7,43
-1.3,44
0,44.4
10.7,45
10.7,46.6
-26.8,47.8
-14.7,47.8
-13.3,48.8
0,50.6
10.7,52
-14.7,53.2
-2.7,55
10.7,55
-2.7,55.4
10.7,57.6
