Produksi Sawit (Ton/ha),Kelembapan Tanah (%)
2.392204648,11.06271192
2.383573438,11.31394359
2.340973902,11.52867831
2.339938436,11.84392832
2.481301555,12.02316754
2.632611132,12.48312768
2.669572101,12.77031342
2.58181736,13.25130168
2.491504691,13.82192097
2.499030208,14.1407863
2.639998676,14.60498152
2.525914891,14.87771281
2.740578487,15.35368279
2.460689542,15.50419081
2.667218814,16.47299471
2.775308013,17.01588413
2.718420298,17.24123567
2.695696374,18.18740321
2.753355761,18.31887637
2.910589791,18.60262809
2.578894817,18.62214537
2.636594868,18.95721782
2.635198379,19.21993397
2.671506324,19.34221097
2.696416687,19.56608128
2.715916572,19.77121112
2.909515349,19.85874934
2.761406719,20.20696395
2.895982929,20.30078929
2.892132973,20.55021544
2.985917193,21.06822218
2.976390687,21.78885184
2.914708846,22.18709209
3.087692909,22.82985507
2.911232095,22.84795354
3.453861173,23.38225801
3.34313577,23.98034868
3.203750778,24.25427692
3.385315731,24.46177246
3.478361748,24.82818384
3.722216753,25.35134855
3.659098801,25.76342695
3.730998507,25.90834614
3.736082073,26.30812468
3.890652403,26.36051488
3.759588639,26.41191723
3.813836256,26.60428241
3.944973222,26.97671745
3.746084973,27.2826503
4.088796663,27.55915741
4.073850517,27.58476519
3.879663679,27.74096322
4.04690017,27.76377073
4.056900698,28.1582128
4.204992646,28.41166312
4.55447501,30.07176827
4.371567605,30.25203265
4.470051518,30.60125974
4.66771724,30.94718656
4.606385846,31.14079505
4.837206287,31.23789993
4.606274458,31.44116735
4.979915341,31.96491792
5.010197439,32.18554685
4.870838338,32.53265286
5.034766272,32.73787981
5.113819957,33.29119223
5.179825653,33.77044486
5.375201161,33.92968944
5.363085843,34.88969804
5.431639508,35.00618378
5.343733734,35.16578851
5.512059453,35.48036434
5.57828469,35.59202194
5.818668357,36.01776678
5.663672417,36.32711041
5.793829452,36.48991273
5.805190685,38.66919463
5.886172111,38.77584365
5.825526173,38.77803995
5.965277665,39.62140417
5.855164256,40.16524715
5.535253928,40.99071063
5.629829869,41.74961944
5.490122655,42.12252271
5.694684829,42.25727198
5.573680444,42.45279499
5.497536517,42.74736637
5.608905067,43.24391826
5.476256233,43.3474478
5.229667878,43.49533151
5.389884959,43.84730922
5.18133776,44.82590438
5.441798728,45.72237868
5.174054025,46.26870476
5.169013553,46.43269483
5.044089555,46.74808242
5.012503505,47.57583294
5.066869285,47.82515388
4.727543735,48.22640524
4.950174018,48.24197346
4.453739725,49.33267558
4.63281179,49.38126261
4.538506994,49.55205121
4.702737441,49.64106439
4.540168428,50.86366517
4.531963578,50.88332177
4.524320017,51.55821786
4.458095898,51.91000953
4.320049129,52.28169435
4.234469754,52.86099641
4.465658471,53.23004806
4.086479893,53.2687804
4.171079688,53.56486043
4.077205421,53.95163996
4.328810062,54.00616443
4.271517512,54.36633545
4.16872867,54.40934168
4.092646623,54.8928355
3.971563487,54.90872695
