stunting,bblr,kurus_akut,posyandu,nakes,harga_protein,kalori_harian,pola_asuh,air_bersih,sanitasi,kemiskinan,literasi_gizi,suplemen,dana_gizi,status_pangan,wilayah
24.6,6.4,4.1,66.1,0.55,11785,1936,85.9,77.8,65.6,10.7,48.8,78.7,2.37,Sentra,Pesisir
24.4,9.1,8.8,32.3,5.87,9276,2274,73.1,72.1,58.1,11.7,33.9,62.8,13.1,Non-Sentra,Pesisir
22,11.9,8.6,42.6,5.15,10320,2125,54.2,80.3,83.9,13.2,26.9,77,5.53,Sentra,Urban
10,3.9,4.3,40.5,5.92,13297,2336,87.7,66.1,72.3,3,35,46.6,13.16,Non-Sentra,Urban
20.7,5.6,8.4,79.6,3.94,11101,2154,76.9,64.5,68.5,7.4,49.2,87.7,6.3,Sentra,Urban
31.6,8.4,11,61.1,0.82,9112,2024,83.9,60.2,48,18.1,50.4,68.2,9.87,Sentra,Urban
19.4,5.4,6.2,56.2,1.81,9135,2104,80.5,57,75.7,20.3,73.9,77,11.03,Sentra,Pesisir
26,14.8,1.5,83.5,1.87,10416,2093,86.6,69.5,57.8,27.9,57.5,84.3,9.11,Sentra,Pesisir
34,14,10,47.7,4.3,10100,1803,54.4,60.3,52.4,27.9,49.9,98.6,7.59,Sentra,Pedesaan
40.7,11.6,8.8,66.9,4.25,12546,1886,59.9,63.1,49.5,27.9,58.5,81.1,5.64,Sentra,Pedesaan
10,2.5,2,50.2,0.98,11589,2338,86.5,53.8,93.6,5.4,40.4,43.1,9.61,Sentra,Urban
22.8,15,8.2,72,3.07,11750,1973,51.9,90,56.1,10.4,51.5,64.2,7.54,Non-Sentra,Pesisir
17.7,5.1,4.3,20.3,4.56,12843,2138,83.9,73.5,89.6,6,78.3,43.5,13.17,Sentra,Pesisir
23.1,12.4,1.6,36.6,5.96,13786,1936,71.7,67.6,72.2,15.2,40.5,79.2,7.4,Non-Sentra,Terpencil
37,9,7.3,29.3,3.15,10240,1692,45.5,64.6,50.6,31.9,71.5,65.7,11.11,Non-Sentra,Pesisir
26.2,4.2,5.1,67.5,4.94,10475,2014,54,76.2,61.3,8.8,28.8,87.4,5.14,Non-Sentra,Pesisir
23.3,11.4,4.5,82.2,0.68,11098,2009,77.9,70.3,60.3,22.6,55.8,47.8,8.81,Non-Sentra,Pedesaan
14.1,6.9,8.9,27.4,6.21,10124,2202,91,76.2,75.3,15.3,61.5,47.3,4.39,Non-Sentra,Urban
36.7,10.1,7.2,23.4,3.69,11971,1852,49.3,69.6,46.2,27.4,61.2,86.2,7.65,Non-Sentra,Pesisir
20.5,3.6,6.3,94.1,5.03,11289,1894,80.5,66,81.2,11.7,36.1,69.1,11.13,Sentra,Pesisir
19.8,11,10.4,68.3,3.53,9019,1997,51.3,57.9,66,16.6,42.1,52.7,14.15,Sentra,Urban
25.3,11.5,2.2,43.8,1.13,13989,1983,61.4,56,60.9,9.3,83,83.6,5.85,Sentra,Urban
25.8,14.8,5.3,52.8,2.35,11303,1799,69,73.5,64.6,15.8,37.8,79.6,13.73,Non-Sentra,Terpencil
23.5,12.2,1.5,80.6,4.61,9333,1962,86.7,88.8,68.4,22.8,69.9,67.6,3.19,Non-Sentra,Urban
22.4,8.6,1.9,68.9,2.29,9422,2178,66.3,72.3,59.7,11.2,49.8,48.7,4.09,Sentra,Pedesaan
24.1,6.8,3.8,26.7,1.74,13629,1950,60.3,61.6,54.7,24.2,81.2,56.4,9.02,Non-Sentra,Pesisir
18.2,12,2.8,73.6,1.79,11407,2117,72.5,79.3,81.5,17.4,57.6,44.9,14.27,Non-Sentra,Terpencil
21.8,9.6,2,60.1,5.78,12730,1974,75.8,59.5,73.1,13.3,50.7,43.7,12.73,Non-Sentra,Pedesaan
44.6,8,12.7,44.5,4.69,10136,1550,40.1,76.3,36.9,29.8,50.7,49,13.04,Non-Sentra,Pedesaan
20.4,12.9,6.3,40.3,2.53,11618,2379,75.4,67.3,53.2,8.5,43.8,45.1,15.56,Non-Sentra,Pedesaan
19.7,4,6.3,27.6,5.47,10905,2118,57.8,86.6,66.1,11.4,74.3,43.1,12.38,Non-Sentra,Pedesaan
27.3,8,3,95,6.67,12878,2104,64.5,69.3,55,18.9,88.2,79.1,15.99,Non-Sentra,Pesisir
22.5,7.1,5.9,71,3.99,9895,1930,78.3,48.2,69.7,12.5,45.5,51.3,14.02,Sentra,Urban
15.6,5.1,4.9,21.6,1.64,13046,2199,74.6,89.5,73,3,31.7,94,6.56,Non-Sentra,Pedesaan
23.4,10,8.2,23.2,1.9,13179,1972,80,65.9,74.2,17.6,81.2,61.5,9.32,Non-Sentra,Terpencil
17.2,9,1.5,83.4,2.87,10113,2135,83.1,85.7,73.8,3,76.9,46.3,13.61,Sentra,Pedesaan
28.4,12.2,5.3,67.2,5.33,13776,2133,59.4,77.2,58.1,23.4,29,94.2,3.89,Sentra,Terpencil
13,4.7,2.1,90.5,5.67,12239,2277,82.6,86.1,72.1,8,72.3,98.4,8.98,Sentra,Pesisir
26.9,3.1,13.6,64.2,3.97,9740,1951,62.4,83.1,59.7,14.8,42.4,92,14.59,Sentra,Pedesaan
18.4,13.4,6.3,41.6,4.14,9450,2176,69.6,85,80.2,3.1,76.3,59.9,7.73,Non-Sentra,Urban
24.7,11.9,6.1,25,3.03,9329,1998,83.4,58,59,14.8,47.4,74.1,2.76,Non-Sentra,Pedesaan
20.7,4.2,2.8,36.5,4.23,13499,2297,71.4,69.2,88.8,5.2,36.7,61.9,4.87,Non-Sentra,Urban
26.3,12.7,9.3,43.2,5.72,13125,1859,58.6,92.3,53.2,26.1,45.6,89.8,5.54,Sentra,Pesisir
17.5,5.7,8,43.8,4.68,9115,2276,86.4,60.1,73.1,14.4,88.1,55.7,9.05,Non-Sentra,Terpencil
36,11.1,7.6,30.4,2.3,11656,1806,62.5,54.6,54.5,29.7,51.9,44.3,3.55,Non-Sentra,Terpencil
24.2,11.4,2.9,56.2,0.68,11138,2000,54.7,67.4,64.1,21.7,36.5,56,15.22,Non-Sentra,Urban
15,6.4,2.6,87.1,2.48,13506,2277,79.4,78.4,78.7,10.5,77.5,81.6,13.84,Sentra,Pedesaan
21.7,6,8.3,74.6,1.88,9427,2060,87.5,63.4,70.8,24.1,40.2,88.9,11.58,Sentra,Terpencil
10,5.4,3.5,88.5,5.11,13255,2415,94.1,94.1,82.4,11.2,40.1,93.2,2.56,Sentra,Urban
